id,varietal_3,varietal_2,varietal_1,species,notes,links
92,SL14,SL,Typica,Arabica,Possible typica-bourbon mix,https://varieties.worldcoffeeresearch.org/varieties/sl14
55,SL28,SL,Bourbon,Arabica,Possible typica-bourbon mix,https://varieties.worldcoffeeresearch.org/varieties/sl28
57,SL28 Cultivar,SL,Bourbon,Arabica,Possible typica-bourbon mix,
56,SL34,SL,Typica,Arabica,Possible typica-bourbon mix,https://varieties.worldcoffeeresearch.org/varieties/sl34
58,Tabi,Tabi,Cultivar,Robusta,,
105,Tim Tim,Timor Hybrid,Hybrid,Other,,
59,Timor Hybrid,Timor Hybrid,Hybrid,Hybrid,Hybrid of Robusta and Arabica,
116,Topazio,Topazio,Hybrid,Hybrid,Red Catuai (hybrid of Mundo Novo and Caturra) and Mundo Novo (hybrid of Bourbon and Typica),
114,Tupi,Tupi,Sarchimor,Hybrid,"Timor Hybrid, Villa Sarchi",
60,Typica,Typica,Typica,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/typica
85,Typica Bergendal,Typica,Typica,Arabica,,
118,Typica Colombia,Typica,Typica,Arabica,,
121,Typica Guatemala,Typica,Typica,Arabica,,
61,Typica Linie S,Typica,Typica,Arabica,,
115,Typica Mejorado,Typica,Typica,Arabica,,
124,Typica Peru,Typica,Typica,Arabica,,
62,Typica Pluma,Typica,Typica,Arabica,,
75,Various,Hybrid,Hybrid,Hybrid,,
63,Venecia,Venecia,Bourbon,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/venecia
64,Villa Sarchi,Villa Sarchi,Bourbon,Arabica,,https://varieties.worldcoffeeresearch.org/varieties/villa-sarchi
65,Wolicho,Wolicho,Heirlooms,Arabica,,
94,Yellow,Other,Other,Other,,
66,Yellow Bourbon,Bourbon,Bourbon,Arabica,,
77,Yellow Catuai,Catuai,Bourbon,Arabica,,
67,Yellow Caturra,Caturra,Bourbon,Arabica,,
102,Yellow Icatu,Icatu,Hybrid,Hybrid,,
68,Yellow Pacamara,Pacamara,Hybrid,Arabica,,
