coffee_id,name,roaster,farmer,process,elevation,country_name,country_region,notes,varietals
4418,Guatemala Buena Vista SOE,Temple,David Solano,Natural,1750,Guatemala,Americas,"bright,sugar,cacao,fruity,apple,sweet,complex,milk,cherry,bittersweet cacao,dark chocolate,black cherry,chocolate,lingering,green apple,brown sugar","Red Caturra,Red Bourbon"
4419,Guatemala Las Colinas,Temple,Las Colinas,Washed,1700,Guatemala,Americas,"delicate,toffee,nutty,round,creamy,lemon,buttery,floral,sweet,lemon zest,apple","Catuai,Sarchimor,Caturra,Pachesan Ramon,Bourbon"
4421,Alexander Sabillon Parainema,Ritual,Alexander Sabillon ,Washed,9999,,,"brown sugar,sugar,juicy,bright",Parainema
4422,El Alto White Honey,Ritual,Grace Calderon Jiminez ,Pulp Natural,9999,Costa Rica,Americas,"caramel,chocolate,honey",Caturra
4423,Organic Yanatile,Ritual,"Marisa Conde Romero, Ermitao Huillca Quispe, and David Merma Macedo ",Washed,9999,Peru,Americas,"cherry,caramel,berry,soft,creamy,round,cola,sweet,honey,candy,citrus,clean","Bourbon,Caturra,Typica"
4424,Huerta del Rio UNECAFE Lachao Decaf,PT's Coffee Roasting Co.,UNECAFE,EA Decaf,1800,Mexico,Americas,"silky,pecan,orange,roasted","Mundo Novo,Typica Pluma"
4425,Finca La Esperanza,Sterling Coffee Roasters,,Washed,1650,,,"sweet,lingering,cream,cream",Bourbon
4426,Ethiopia Yirgacheffe Aricha,Sterling Coffee Roasters,,Washed,1950,Ethiopia,Africa,"orange,super,black tea,tea,nectarine,lemonade,bright,honey,floral,sweet,peach,bergamot",Heirlooms
4427,Decaf Ethiopia Masha Natural,Equator,Haile Gebreselassie,EA Decaf,1755,Ethiopia,Africa,"fruity,cocoa,nectarine,cherry,currant,milk,complex,peach",Ethiopia Landraces
4428,Ayarza,Feast,"Lorenzo, Zapata, Aguirre, Najera, Mendez, Sandoval, Ortega, Martinez, and Barrera families.",Natural,1800,,,"chocolate,strawberry,cocoa,sweet,caramel,milk chocolate,milk","Bourbon,Caturra,Typica"
4431,Canopy,Common Voice,,Washed,1500,,,"chocolate,complex,cherry,dark chocolate,cinnamon,spice,black cherry",
4432,Compass,Common Voice,,Washed,1100,,,"roasted,candy,chocolate,tangerine,juicy,almond",
4433,Agua,Common Voice,,Washed,9999,,,"lingering,light,balance,nutty,juicy,sweet,fruity,citrus",
4434,Perennial Decaf,Common Voice,,EA Decaf,9999,,,"bright,green apple,cedar,sweet,apple,crisp",
4435,Sunbeam,Common Voice,,Washed,9999,,,"almond,bright,chocolate,roasted",
4436,Terra,Common Voice,,Washed,9999,,,"earthy,orange,milk",
4437,Caplami,Novo,,Washed,1500,,,"peach,tobacco,earthy,floral",Java
